Country,AC Type,Capacity Min (kW),Capacity Max (kW),0 Star Min,0 Star Max,1 Star Min,1 Star Max,2 Star Min,2 Star Max,3 Star Min,3 Star Max,4 Star Min,4 Star Max,5 Star Min,5 Star Max
Indonesia,All,0,12,,,3.1,3.4,3.4,3.8,3.8,4.2,4.2,5,5,7
Malaysia,All,0,4.5,,,0,3.1,3.1,3.3,3.3,4.6,4.6,5.3,5.3,7
Malaysia,All,4.5,7.1,,,0,2.9,2.9,3.1,3.1,4,4,5.1,5.1,7
Thailand,Fixed Speed,0,2.34,3.59,3.65,3.66,3.71,3.72,3.78,3.79,3.84,3.85,3.91,3.92,7
Thailand,Fixed Speed,2.34,3.52,3.52,3.58,3.59,3.65,3.66,3.71,3.72,3.78,3.79,3.85,3.85,7
Thailand,Fixed Speed,3.52,5.28,3.26,3.32,3.33,3.39,3.4,3.46,3.47,3.53,3.54,3.6,3.61,7
Thailand,Inverter,0,2.34,3.98,4.14,4.15,4.3,4.31,4.47,4.48,4.63,4.64,4.8,4.81,7
Thailand,Inverter,2.34,3.52,3.87,3.99,4,4.11,4.12,4.23,4.24,4.36,4.37,4.48,4.49,7
Thailand,Inverter,3.52,5.28,3.66,3.82,3.83,3.98,3.99,4.15,4.16,4.31,4.32,4.48,4.49,7
Vietnam,Unitary,0,12,,,2.8,3,3,3.2,3.2,3.4,3.4,3.6,3.6,7
Vietnam,Split,0,4.5,,,3.1,3.4,3.4,3.6,3.6,3.8,3.8,4.2,4.2,7
Vietnam,Split,4.5,6.999,,,3,3.2,3.2,3.4,3.4,3.6,3.6,4,4,7
Vietnam,Split,7,11.999,,,2.8,3,3,3.2,3.2,3.4,3.4,3.8,3.8,7
